CN1721226	CAN总线	整车能量高
CN1170703	建筑粉灰	煅烧时间短
CN1170703	建筑粉灰	工艺简单
CN1170703	建筑粉灰	建筑粉
CN1170703	建筑粉灰	能产生可观
CN1170703	建筑粉灰	取代传统白
CN1170703	建筑粉灰	社会可观
CN1170703	建筑粉灰	生产成本低
CN1170703	建筑粉灰	石灰白
CN1170703	建筑粉灰	水泥少
CN1170703	建筑粉灰	压强度高
CN2362527	健身器	成本低廉
CN2362527	健身器	结构简单
CN2362527	健身器	性强实用
CN1248333	键盘系统	词词长
CN101266467	降压系统	结构简单
CN101266467	降压系统	实现成本低
CN2086685	交叉器	省工
CN2086685	交叉器	省钱工
CN2086685	交叉器	铜材少
CN1670993	交换膜	薄膜质子电高
CN101170183	交换膜	操作电池性能好
CN101170183	交换膜	操作电池性能湿
CN101205308	交换膜	成本低
CN1995108	交换膜	成本低廉
CN101350414	交换膜	尺寸稳定性高
CN1464580	交换膜	催化剂单位面积担载量容易
CN1670993	交换膜	电池综合性高
CN101340002	交换膜	端胺基部分疏
CN1464580	交换膜	发明操作简单
CN101071875	交换膜	反应气体少
CN101345313	交换膜	氟乙烯微
CN1881667	交换膜	复合质子交换膜湿
CN101345313	交换膜	工艺路线简单
CN1881667	交换膜	机械强度高
CN101350414	交换膜	机械强度好
CN101071875	交换膜	机械强度好
CN101340002	交换膜	基团酸
CN101205308	交换膜	进行均匀彻底
CN101345313	交换膜	孔薄膜微
CN101350414	交换膜	孔膜微
CN101345313	交换膜	控制技术简单
CN1670993	交换膜	醚芳
CN1349270	交换膜	膜分子结构酸
CN1349270	交换膜	膜高
CN1349270	交换膜	膜酸
CN1349270	交换膜	膜质子导电性酸
CN101205308	交换膜	耐热性优异
CN101170183	交换膜	强度好
CN101340002	交换膜	亲水性强
CN101071875	交换膜	燃料电池性能高
CN101188301	交换膜	生产成本低
CN101345313	交换膜	生产效率高
CN101340002	交换膜	水性疏
CN101170183	交换膜	碳纳米管含量容易
CN101188301	交换膜	温度高
CN1670993	交换膜	稳定性热
CN101205308	交换膜	稳定性热
CN101205308	交换膜	稳定性性能热
CN101205308	交换膜	物料粘度少
CN101188301	交换膜	性能醇
CN1349270	交换膜	性能醇
CN101188301	交换膜	性能好
CN1995108	交换膜	性能良好醇
CN101188301	交换膜	性能胀
CN101188301	交换膜	原材料价格低廉
CN101188301	交换膜	制备方法简单
CN1995108	交换膜	制备工艺简单
CN1670993	交换膜	质子交换膜热
CN1670993	交换膜	质子交换膜酸
CN1293149	交换站	电流电池好
CN1818831	交通工具	操纵灵活
CN1818831	交通工具	工作性能稳定可靠
CN1818831	交通工具	功能方便
CN1818831	交通工具	交通工具灵活
CN1818831	交通工具	结构轻便
CN1209506	交通工具	能源少
CN1429726	交通系统	优点大
CN1526596	交通系统	优点大
CN1429726	交通系统	有干线运输客流量大
CN1526596	交通系统	有干线运输客流量大
CN1272378	绞股蓝	基自由
CN1272378	绞股蓝	口感好
CN201212249	脚手架	成本轻巧
CN201212249	脚手架	定位支撑自如
CN201212249	脚手架	高效安全
CN201212249	脚手架	结构轻巧
CN201212249	脚手架	两用轮换独特
CN201212249	脚手架	伸缩升降安全
CN201212249	脚手架	伸缩升降简单
CN201212249	脚手架	性能优越
CN201212249	脚手架	作业载荷灵活
CN101254755	轿车	交通工具低廉
CN2053997	轿车	结构简单
CN2053997	轿车	具有体积小
CN101254755	轿车	使用成本低廉
CN2053997	轿车	特点低
CN2053997	轿车	制造成本低
CN2640024	接触器	触头不易
CN2640024	接触器	具有容量大
CN1486890	接触网	发明结构简单
CN1486890	接触网	故障方便
CN1486890	接触网	故障少
CN1486890	接触网	接触导线长度短
CN1486890	接触网	景观视觉好
CN1486890	接触网	造价低
CN1486890	接触网	造价简单
CN1640709	接方法	布局灵活
CN1640709	接方法	可靠性高
CN1640709	接方法	确保电池正常
CN1813365	接合体	发电性能高
CN1813365	接合体	时间长
CN2374984	接离装置	导电性佳
CN2374984	接离装置	电极佳
CN1232334	接收机	频率明显
CN200982499	接头结构	成本低
CN200982499	接头结构	体积小
CN201100937	接线盒	安装好
CN201100937	接线盒	接线盒轻
CN201100937	接线盒	强度好
CN101188306	秸秆发电	发明工艺简单
CN101188306	秸秆发电	效率高
CN101295959	节电器	保证电动机平稳
CN101295959	节电器	变频调速理想
CN101295959	节电器	构成品质优异
CN101295959	节电器	数字式正弦电压变频调速器优异
CN101293487	节能法	发动机功率少
CN101293487	节能法	负载能力明显
CN201090712	节能器	结构简单
CN201090712	节能器	能源少
CN1987158	节油技术	车速低
CN1987158	节油技术	成本低
CN1987158	节油技术	汽车燃油少
CN1151476	节油器	况工
CN1151476	节油器	汽油机好
CN201169204	节油装置	结构简单
CN201169204	节油装置	燃油少
CN101263020	结构	安装便利
CN101263020	结构	安装佳
CN200999084	结构	长处方便
CN201151907	结构	承受能力大
CN1754759	结构	电动代固
CN1463862	结构	动力高
CN1754759	结构	构成线条优美
CN1754759	结构	结构强固
CN200999084	结构	具有结构简单
CN1944092	结构	可靠性高
CN200999084	结构	刹车性能好
CN200999084	结构	刹车性能理想
CN2600270	结构	系统结构紧凑
CN200999084	结构	响声大
CN101263020	结构	性便利
CN2600270	结构	优点大
CN101146656	结构体	净化性能双方蜂窝结构体高
CN101146656	结构体	压力损失低
CN1051044	结垢防止	聚物低
CN1220299	结雾喷剂	持续时间长
CN1220299	结雾喷剂	方法工艺过程温度低
CN1220299	结雾喷剂	功能长
CN1220299	结雾喷剂	流程简单
CN1297777	巾制备方法	使用时卫生
CN1297777	巾制备方法	炎阴
CN1672274	金担载量	贵金属理想
CN1686784	金属	高效能量转换方法安全
CN1887496	金属	合金钢手工低
CN1887496	金属	具有切口表面平整
CN1887496	金属	切割操作过程简单
CN1887496	金属	速度快
CN1887496	金属	斜角误差小
CN1887496	金属	优点安全
CN1821063	金属锂盐	安全性好
CN1821063	金属锂盐	密度大
CN1821063	金属锂盐	密度实
CN1821063	金属锂盐	能量密度高
CN101245730	进气系统	降低汽车平均
CN101245730	进气系统	维持温度水平困难
CN101245730	进气系统	油耗平均
CN1320725	晶体	成本低
CN1320725	晶体	晶体易
CN1320725	晶体	硼酸盐低
CN1320725	晶体	硼酸盐一般
CN1320725	晶体	生长速度快
CN1320725	晶体	优点低
CN1394255	净化器	价格低
CN1394255	净化器	制造催化简单
CN1460306	净化装置	气体低
CN1297034	酒	成本低廉
CN1297034	酒	具有制作简单
CN1297034	酒	生产奶酒营养成份高
CN1121954	酒	鲜花丰富
CN1121954	酒	营养丰富
CN200964910	酒精	使发动机系统安全
CN200964910	酒精	性能安全
CN200964910	酒精	整体结构简单
CN2191142	举升机	构造简单
CN101284535	矩监控方法	开发成本低
CN101284535	矩监控方法	优点低
CN101284535	矩监控方法	有结构简单
CN1168893	聚丙烯腈	使催化剂活性明显
CN101223200	聚合物	方法制造有利
CN1582304	聚合物	聚物低
CN1582304	聚合物	聚物完全
CN1315976	聚合物	流动性优异
CN1919895	聚硫醚砜	精确容易
CN1919895	聚硫醚砜	制备方法简单
CN101273193	绝缘阀	部位压力差
CN101273193	绝缘阀	活塞主
CN101273193	绝缘阀	可以保持主
CN1607708	均衡电路	电压差大
CN1607708	均衡电路	动力蓄电池好
CN1607708	均衡电路	混合动力电动汽车少
CN1607708	均衡电路	平衡大容量差
CN1607708	均衡电路	蓄电池高
CN1489236	均衡装置	成本低廉
CN1489236	均衡装置	结构简单
CN1489236	均衡装置	特点小
CN1489236	均衡装置	效率高
CN1489236	均衡装置	效率简单
CN101380991	开发技术	成本低廉
CN101380991	开发技术	成本少
CN101380991	开发技术	塑字简易
CN101380991	开发技术	性跑道平稳
CN1855721	开关	保证电路安全
CN1855717	开关	保证电路安全
CN101281829	开关锁	解决现有电源开关锁稳定性差
CN2650371	开关装置	时高
CN2650371	开关装置	时及时
CN2650371	开关装置	直流母线电压高
CN101399355	开环系统	电能设置空气可用
CN1358827	抗腐蚀剂	成本低
CN1358827	抗腐蚀剂	具有工艺简单
CN1358827	抗腐蚀剂	燃料醇
CN1358827	抗腐蚀剂	碳醇
CN1358827	抗腐蚀剂	碳低
CN1358827	抗腐蚀剂	特点广
CN1358827	抗腐蚀剂	应用范围广
CN1189971	抗疲劳茶	保持茶叶优美
CN1189971	抗疲劳茶	香味鲜
CN1189971	抗疲劳茶	造型优美
CN201128450	靠背椅	搭载人时方便
CN201128450	靠背椅	目的方便
CN101007630	颗粒形貌	反应时间短
CN101007630	颗粒形貌	粒度小
CN201234417	壳体装置	布局合理
CN201234417	壳体装置	调整磁感应器件位置方便
CN201234417	壳体装置	性能可靠
CN201234417	壳体装置	有结构简单
CN101032981	客车	成本客车电控液压铰接系统高
CN1460620	客车底盘	城市客车平稳
CN201124872	客车底盘	分布合理
CN101328974	空档开关	成本低
CN1522885	空调机	电动机恒定
CN2654401	空调机	电动机恒定
CN1522885	空调机	电动机理想
CN2654401	空调机	电动机理想
CN1457303	空调机	废热量少
CN1522885	空调机	具有结构简单
CN2654401	空调机	具有结构简单
CN1457303	空调机	汽车少
CN1522885	空调机	设定理想
CN2654401	空调机	设定理想
CN1522885	空调机	制冷效果好
CN2654401	空调机	制冷效果好
CN201163120	空调机组	功能问题热
CN1657850	空调系统	车厢容易
CN101423011	空调系统	成本低廉
CN1709734	空调系统	发明结构简单
CN101423011	空调系统	范围合理
CN101279580	空调系统	结构简单
CN1896630	空调系统	限度大
CN101067505	空调装置	保证混合动力车空调系统连续
CN2693506	空调装置	工作效率高
CN2693506	空调装置	具有结构简单
CN101067505	空调装置	运行连续
CN2630033	空轨飞车	车速快
CN2630033	空轨飞车	重量轻
CN1685158	空气泵	精度高
CN1600597	空气电车	放电连续
CN1600597	空气电车	克服电瓶连续
CN1600597	空气电车	有重量轻
CN101030664	空气电池	容量大
CN101030664	空气电池	用途广泛
CN101030664	空气电池	制造成本低
CN101030664	空气电池	重量轻
CN101295793	空气电极	成品率高
CN101295793	空气电极	电极造价低
CN1543000	空气阴极	工作寿命长
CN101058319	控制	策略模糊
CN201058622	控制	策略模糊
CN1966304	控制	发明结构紧凑
CN1680894	控制	具有线路简单
CN101058319	控制	耦合缺点强
CN201058622	控制	耦合缺点强
CN1696541	控制	输出速度低
CN1680894	控制	特点可靠
CN101058319	控制	提高汽车操控舒适
CN201058622	控制	提高汽车操控舒适
CN201058622	控制	系统高
CN101058319	控制	系统高
CN1680894	控制	性能可靠
CN201058622	控制	性舒适
CN101058319	控制	性舒适
CN1966304	控制	因素安全
CN1928749	控制板	接口方便
CN1928749	控制板	控制板资源丰富
CN1928749	控制板	运算速度快
CN1944139	控制策略	使用寿命短
CN1944139	控制策略	尾气排放严重
CN1944139	控制策略	问题严重
CN1541861	控制单元	输入输出端口信号处理模块丰富
CN1932703	控制单元	输入输出通道丰富
CN101367364	控制电路	操作方便
CN201138443	控制柜	操作方便
CN1570799	控制技术	动力蓄电池高
CN1428257	控制器	按键开关简单
CN201198281	控制器	保护电机好
CN1428257	控制器	采用结构简单
CN1243793	控制器	车轴理想
CN1428257	控制器	成本低
CN1757539	控制器	程度大
CN101229769	控制器	带电气负载能力强
CN101308369	控制器	电动车控制器高
CN101308368	控制器	电动车控制器高
CN101308370	控制器	电动车控制器高
CN101308369	控制器	电动车控制器技术管理方便
CN101308368	控制器	电动车控制器技术管理方便
CN101308370	控制器	电动车控制器技术管理方便
CN1880119	控制器	电动汽车方便
CN2589256	控制器	电机控制器效率高
CN200974476	控制器	电路结构简单
CN1243793	控制器	电驱动低
CN1532084	控制器	电位低
CN1764039	控制器	电压大
CN2749164	控制器	电压大
CN1270907	控制器	发明结构简单
CN1764039	控制器	范围大
CN2749164	控制器	范围大
CN1198998	控制器	范围合理
CN201115102	控制器	防水处理一致性好
CN1275947	控制器	附着系数低
CN1243793	控制器	刚性理想
CN201109378	控制器	管散热效果好
CN201115161	控制器	管散热效果好
CN201115104	控制器	管散热效果好
CN101209679	控制器	机械少
CN1880119	控制器	机械性能好
CN2752100	控制器	监测蓄电池电量及时
CN2752100	控制器	监测蓄电池电量突出
CN2589256	控制器	降低缓冲电路热
CN1563690	控制器	接口方便
CN2629338	控制器	接口紧凑
CN201097182	控制器	节省能量充分
CN2629338	控制器	结构紧凑
CN201073730	控制器	具有操作简单
CN2629338	控制器	具有功率等级高
CN101355862	控制器	抗振动性好
CN201115120	控制器	抗振动性好
CN2391197	控制器	控制调速信号可靠性低
CN1773239	控制器	控制器错误小
CN2752100	控制器	控制器件工作频率高
CN1996247	控制器	控制器体积小
CN1880119	控制器	控制器造价便宜
CN201119166	控制器	密封防水好
CN201197229	控制器	密封防水好
CN201146641	控制器	密封防水好
CN201119191	控制器	密封防水好
CN201115120	控制器	密封防水性能好
CN101355862	控制器	密封防水性能好
CN201115119	控制器	密封防水性能好
CN201128458	控制器	密封防水性能好
CN201132566	控制器	密封防水性能好
CN1243793	控制器	摩擦力低
CN1465491	控制器	气体排放有害
CN201115101	控制器	散热效果好
CN1736755	控制器	时速
CN201073730	控制器	实用优点方便
CN200974476	控制器	使车辆行驶平稳
CN101229769	控制器	使得发动机起动时间短
CN2391197	控制器	使光通量平滑
CN200977870	控制器	使用寿命长
CN2629338	控制器	适用性强
CN1198998	控制器	寿命长
CN2391197	控制器	寿命长
CN101229769	控制器	受飞轮参数影响小
CN1532084	控制器	输出低
CN1316350	控制器	司机操纵舒适
CN1757539	控制器	司机操作方便
CN2629338	控制器	特点紧凑
CN2629338	控制器	体积小
CN1316350	控制器	外形美观
CN2391197	控制器	问题低
CN2752100	控制器	系统工作安全
CN1465491	控制器	系统灵活性好
CN101229769	控制器	响应速度快
CN2752100	控制器	效果积极
CN201118499	控制器	效果有益
CN2756488	控制器	性能安全
CN1996247	控制器	硬件少
CN2752100	控制器	优点突出
CN2629338	控制器	整车方便
CN2210119	控制器	值大
CN2210119	控制器	组成自动电流大
CN201119168	控制器外壳	电动车控制器外壳结构简单
CN201119168	控制器外壳	密封性能高
CN201119168	控制器外壳	维修操作方便
CN201153237	控制器系统	整个电机动力系统效率极大
CN101378927	控制设备	避免负荷分配比率突然
CN101242979	控制设备	变速频繁
CN101374688	控制设备	车少
CN101242980	控制设备	传递动力齿轮式传动装置高
CN101242979	控制设备	传递动力齿轮式传动装置高
CN101242979	控制设备	传动效率高
CN101233035	控制设备	发动机转矩大
CN101370697	控制设备	计算缓慢
CN101233035	控制设备	燃料经济性高
CN101242979	控制设备	燃料经济性好
CN101242980	控制设备	效果高
CN101242979	控制设备	效果少
CN101370697	控制设备	移动缓慢
CN201077502	控制手把	结构合理
CN201077502	控制手把	控制操作简便
CN1931642	控制系统	安全性主动
CN1986308	控制系统	保证驾驶舒适
CN1792690	控制系统	保证制动安全
CN1986303	控制系统	保证制动作用及时
CN1631698	控制系统	标准接口统一
CN1920704	控制系统	材料成本少
CN2772880	控制系统	采集实时
CN1266796	控制系统	残疾车舒适
CN1986272	控制系统	操控性能好
CN201113531	控制系统	操作安全
CN201195503	控制系统	车辆总体结构紧凑
CN101323302	控制系统	车速情况少
CN1670647	控制系统	成本低
CN1562661	控制系统	成本低
CN1562661	控制系统	成本简便
CN201195503	控制系统	传统内燃机结构简单
CN101259845	控制系统	电机扭矩时间高
CN1238588	控制系统	电流实际
CN2772880	控制系统	电气安全
CN101030083	控制系统	发明成本低
CN101229781	控制系统	发明系统结构简单
CN1996189	控制系统	发明系统稳定性好
CN101254744	控制系统	工作寿命高
CN101254744	控制系统	工作效率高
CN1920704	控制系统	功能新
CN101000496	控制系统	兼容性好
CN1920704	控制系统	接口丰富
CN201124763	控制系统	结构简单
CN201124765	控制系统	结构简单
CN101071865	控制系统	具有成本低
CN200990401	控制系统	具有成本低
CN1709742	控制系统	具有电路简单
CN1670647	控制系统	具有线路简单
CN200990401	控制系统	抗干扰性强
CN101071865	控制系统	抗干扰性强
CN1631698	控制系统	抗干扰性强
CN1562661	控制系统	可靠性安全
CN1562661	控制系统	可靠性高
CN1996705	控制系统	可靠性高
CN1555990	控制系统	控制部分佳
CN101000496	控制系统	控制结构清晰
CN101030083	控制系统	控制结构清晰
CN101259845	控制系统	控制系统可靠
CN1238588	控制系统	来自辅助电源实际
CN101396993	控制系统	类型汽车安全
CN1986272	控制系统	利用效率高
CN1528612	控制系统	能量高
CN101259845	控制系统	扭矩好
CN101396993	控制系统	汽车高
CN101071865	控制系统	燃料电池发电站安全性高
CN200990401	控制系统	燃料电池发电站安全性高
CN1986308	控制系统	燃油好
CN1996705	控制系统	燃油少
CN1644423	控制系统	时候高
CN201124763	控制系统	使用寿命长
CN201124765	控制系统	使用寿命长
CN201124764	控制系统	使用寿命长
CN101209681	控制系统	输出大
CN1734457	控制系统	数据交换方便
CN101229781	控制系统	速度快
CN101071865	控制系统	特点强
CN200990401	控制系统	特点强
CN101259845	控制系统	提高驾驶舒适
CN1931642	控制系统	提高整车主动
CN201124763	控制系统	体积小
CN201124765	控制系统	体积小
CN201124764	控制系统	体积小
CN101259845	控制系统	稳定可靠
CN101238005	控制系统	系统电压少
CN101396993	控制系统	系统可靠
CN1931642	控制系统	限度回收制动能量大
CN1945939	控制系统	效率高
CN2772880	控制系统	信息安全
CN2772880	控制系统	信息实时
CN101259845	控制系统	性舒适
CN1266796	控制系统	性舒适
CN101209683	控制系统	性舒适
CN1986308	控制系统	性同时舒适
CN101396993	控制系统	意义重要
CN2772880	控制系统	隐患监测安全
CN1670647	控制系统	优点低
CN201124765	控制系统	运行费用低
CN201124764	控制系统	运行费用低
CN201124763	控制系统	运行费用低
CN201124763	控制系统	运行噪音小
CN201124765	控制系统	运行噪音小
CN1986272	控制系统	制动效果佳
CN1266796	控制系统	智能电动助力自行车高
CN1996705	控制系统	转换效率高
CN1945939	控制系统	转子体积少
CN1755173	控制装置	比率侧低
CN1755172	控制装置	比率侧位置低
CN1755172	控制装置	比率低
CN1421333	控制装置	变化量大
CN101210617	控制装置	变速少
CN201080141	控制装置	操作方便
CN1295948	控制装置	产生舒服
CN1513691	控制装置	车辆高
CN1234910	控制装置	衬底电连接简单
CN201080141	控制装置	成本低
CN201220608	控制装置	成本低
CN101086938	控制装置	成本低
CN2272835	控制装置	成本低
CN2281282	控制装置	成本低
CN2278609	控制装置	成本低
CN1994772	控制装置	充电状态值少
CN101066675	控制装置	冲击对策有利
CN1080983	控制装置	传动机构少
CN101233034	控制装置	电动车辆燃料好
CN101244691	控制装置	电动机耐用
CN101195377	控制装置	电动机特定工作点处明显
CN1821628	控制装置	电力少
CN101272928	控制装置	电路结构电车容易
CN1176195	控制装置	电压低
CN101045451	控制装置	断开要素完全
CN1994772	控制装置	恶化倾向小
CN101318508	控制装置	发动机耐久性不利
CN1962309	控制装置	发明结构简单
CN101195377	控制装置	发生噪声明显
CN1907747	控制装置	感觉舒服
CN1773758	控制装置	高效特点简便
CN101298246	控制装置	工作区域大
CN1234910	控制装置	功率元件产生热量好
CN101222203	控制装置	计算确实
CN101041353	控制装置	加速器开度低
CN101043094	控制装置	价格低廉
CN101045451	控制装置	接合要素完全
CN101043094	控制装置	结构低廉
CN201235737	控制装置	结构简单
CN201143892	控制装置	结构简单
CN2369945	控制装置	结构紧凑
CN101260936	控制装置	结束时离合器完全
CN2272835	控制装置	具有操作简单
CN2281282	控制装置	具有操作简单
CN201128383	控制装置	具有结构简单
CN201220608	控制装置	具有结构简单
CN201117725	控制装置	具有结构简单
CN201148143	控制装置	具有结构新颖
CN1295948	控制装置	空燃稀
CN2384856	控制装置	控制时手感容易
CN1312187	控制装置	良好平稳
CN2272835	控制装置	灵敏度高
CN2281282	控制装置	灵敏度高
CN1839065	控制装置	谋求变速器换档时旋转一致
CN201235737	控制装置	能量高
CN201235736	控制装置	能量高
CN201220608	控制装置	能源利用率高
CN201113914	控制装置	爬坡容易
CN101248572	控制装置	品质高
CN1994772	控制装置	情况小
CN1421333	控制装置	确定再生量大
CN1979936	控制装置	燃料电池长
CN101248572	控制装置	绕组结构简单
CN1089220	控制装置	如电动摩托车大
CN2392688	控制装置	上下移动平稳
CN1979936	控制装置	时间长
CN1839065	控制装置	时间一致
CN201080141	控制装置	寿命长
CN101244691	控制装置	水平低
CN201220608	控制装置	特点低
CN2281282	控制装置	特点方便
CN2272835	控制装置	特点方便
CN201128383	控制装置	特点方便
CN201235737	控制装置	体积小
CN100999189	控制装置	通讯速率高
CN1979936	控制装置	稳定运行湿
CN1295948	控制装置	吸气管负压辅助起动高
CN1994772	控制装置	限度必要
CN101086938	控制装置	响应速度快
CN101066675	控制装置	响应性有利
CN201120855	控制装置	效果有益
CN1312187	控制装置	行驶平稳
CN101244691	控制装置	性耐用
CN201080141	控制装置	性能安全
CN201148143	控制装置	性能可靠
CN201128383	控制装置	续行里程长
CN201220608	控制装置	续行里程长
CN1176195	控制装置	蓄电池单元低
CN101318508	控制装置	影响不利
CN201117725	控制装置	优点方便
CN1514907	控制装置	油耗好
CN101045453	控制装置	油耗经济性高
CN1295948	控制装置	阈值低
CN1295948	控制装置	阈值高
CN1089220	控制装置	运动量车辆操作大
CN1169378	控制装置	再生输出大
CN1441732	控制装置	值高
CN101196152	控制装置	转速高
CN101028820	控制装置	转速区域低
CN101028820	控制装置	转速区域高
CN2392688	控制装置	装置安全
CN1979936	控制装置	作用重要
CN1283494	口服液	实用价值好
CN1285155	口香糖	胶基好
CN1285155	口香糖	糖粉
CN2765696	快冷模具	形成物料致密性好
CN201165275	框	产品结构简单
CN201165275	框	设计制作简单
CN201165275	框	置物安全
CN1274585	－溃疡灵	疗程短
CN1274585	－溃疡灵	配伍合理
CN101209675	馈控制方法	电池能量高
CN101209675	馈控制方法	电动汽车长
CN101209675	馈控制方法	能量适当
CN101209675	馈控制方法	性平滑
CN200965892	扩散层	管理平衡热
CN101154733	扩散层	均匀疏
CN101154733	扩散层	良好疏
CN101350412	扩散层	浓度极化大
CN101350412	扩散层	气体扩散层浓度极化少
CN200965892	扩散层	燃料电池水管理高
CN101154733	扩散层	实用价值强
CN101350412	扩散层	水材料分布均匀憎
CN101154733	扩散层	水性疏
CN101350412	扩散层	需设备简单
CN1201270	扩散电极	催化剂适用
CN1201270	扩散电极	覆涂层疏
CN1201270	扩散电极	水程度疏
CN1161182	拉锁	固定牢固
CN1707607	喇叭	结构紧凑
CN1707607	喇叭	优点紧凑
CN1707607	喇叭	制造成本低
CN1240157	类物料	产品深
CN1240157	类物料	加工深
CN1963347	冷量	发明操作简单
CN201133734	冷暖空调	效果有益
CN1734133	冷却	混合高
CN1734133	冷却	效率高
CN101087082	冷却水套	发明密封性能好
CN101087082	冷却水套	加工制造方便
CN101087083	冷却水套	加工制造方便
CN101087084	冷却水套	加工制造方便
CN101087082	冷却水套	结构紧凑
CN101087084	冷却水套	结构紧凑
CN101087083	冷却水套	结构紧凑
CN101087083	冷却水套	冷却效果好
CN101087084	冷却水套	冷却效果好
CN101087082	冷却水套	冷却效果好
CN101087084	冷却水套	密封性能好
CN101087083	冷却水套	密封性能好
CN101304192	冷却水套	强度好
CN201204519	冷却水套	强度好
CN101087084	冷却水套	水道结构简单
CN101087083	冷却水套	水道结构简单
CN101087082	冷却水套	水道结构简单
CN100999188	冷却系统	构件集成方便
CN200974474	冷却系统	结构简单
CN200974474	冷却系统	冷却效果好
CN101027814	冷却系统	温度差异小
CN101419475	冷却系统	温度可靠
CN101027814	冷却系统	效果小
CN2505322	冷却装置	成本低
CN101442147	冷却装置	发明极大
CN101061006	冷却装置	交换器冷却效率热
CN101442147	冷却装置	具有结构简单
CN2505322	冷却装置	力状况合理
CN2505322	冷却装置	使电池模块安装定位方便
CN101442147	冷却装置	优点突出
CN101253670	冷却装置	噪声发生车辆少
CN2505322	冷却装置	制造工艺简单
CN1976176	冷式电机	发明结构简单
CN200994094	冷式电机	结构简单
CN1976176	冷式电机	冷却效率高
CN200994094	冷式电机	冷却效率高
CN1294037	离合器	传动效率高
CN101439665	离合器	存在转速差
CN1294037	离合器	刚性好
CN1294037	离合器	刚性压力机高
CN1294037	离合器	具有机件简单
CN101265953	离合器	离合器方便
CN101439665	离合器	离合器一般
CN101439665	离合器	时差
CN101439665	离合器	时机械差
CN101439665	离合器	整车控制器少
CN1294037	离合器	重量轻
CN101439665	离合器	转速大
CN1909358	离合装置	车行驶安全
CN1866680	离合装置	开发周期长
CN1866680	离合装置	开发周期短
CN1866680	离合装置	空间小
CN1866680	离合装置	占用空间多
CN1866680	离合装置	重量轻
CN1434530	离析器	电阻率低
CN1434530	离析器	气密
CN1434530	离析器	性能密
CN101356678	离子导体	安全性高
CN2638252	离子电池	安全性高
CN101262056	离子电池	成本低
CN101087018	离子电池	成本低
CN1949580	离子电池	电池安全性高
CN101154751	离子电池	高温存储时容量损失小
CN1315752	离子电池	工艺简单
CN2638252	离子电池	工作电压高
CN101262056	离子电池	解决现有有机电解液锂离子电池安全
CN1315752	离子电池	具有安全性好
CN201072776	离子电池	具有结构简单
CN2638252	离子电池	具有能量高
CN1630126	离子电池	科学合理
CN101154751	离子电池	锂离子电池小
CN101154751	离子电池	锂正极材料容量损失方法酸
CN1315752	离子电池	能量密度高
CN101232104	离子电池	使电池安全
CN1315752	离子电池	稳定性好
CN101262056	离子电池	问题安全
CN1315752	离子电池	形状薄
CN101232104	离子电池	性能安全
CN1630126	离子电池	选择精细
CN1315752	离子电池	循环性好
CN101154751	离子电池	抑制锰酸
CN2638252	离子电池	优点显著
CN1315752	离子电池	造价低
CN1630126	离子电池	组合理
CN101350417	离子膜	发明微
CN101350418	离子膜	孔膜微
CN101350417	离子膜	孔膜微
CN101350418	离子膜	孔微
CN101350418	离子膜	湿度低
CN101350418	离子膜	增强物微
CN101350418	离子膜	作用极大
CN101183736	锂电池	封装锂电池时容易
CN1364324	锂电池	改进聚合物热
CN1247388	锂电池	工作电压平稳
CN101395743	锂电池	获得放电容量大
CN101183736	锂电池	塑复合膜调整好
CN101183736	锂电池	位置好
CN1247388	锂电池	循环性好
CN1984841	锂离子	放电容量大
CN101325248	锂离子	体可靠
CN1984841	锂离子	制造廉价
CN1044541	立体成象	方法简单
CN101257242	励磁装置	解决现有励磁装置体积大
CN101257242	励磁装置	具有电路结构简洁
CN101257242	励磁装置	特点高
CN101257242	励磁装置	运行可靠性高
CN101257242	励磁装置	制造成本低
CN1530551	连接部分	制造马达容易
CN1503389	连接材料	成本低
CN1503389	连接材料	机械强度高
CN1503389	连接材料	具有工艺过程简单
CN1503389	连接材料	烧结特性好
CN1503389	连接材料	优点低
CN1448965	连接器	尺寸小
CN1178402	连接器	分离容易
CN1094861	连接器	金属对称
CN1178402	连接器	连接器容易
CN1448965	连接器	实现连接器整体小
CN1448965	连接器	数值小
CN1667859	连接体	发明材料资源丰富
CN1667859	连接体	工业化成本低
CN1667859	连接体	工艺方法简单
CN1667859	连接体	工艺过程容易
CN1741334	连接箱	操作性高
CN101218697	连接装置	电阻少
CN101050793	连接装置	动力缓冲作用好
CN201062637	连接装置	动力缓冲作用好
CN201062637	连接装置	加工简单
CN101050793	连接装置	加工简单
CN2753649	连接装置	拧螺母麻烦
CN201105966	连接装置	整车高
CN201062637	连接装置	轴少
CN101050793	连接装置	轴少
CN101050793	连接装置	装置结构简单
CN201062637	连接装置	装置结构简单
CN101364753	连接组件	半径圆
CN101364753	连接组件	截面积有效
CN101364753	连接组件	具有有效截面积圆
CN200945859	联动装置	减轻脚疲劳
CN1987067	联供系统	能源高
CN2384806	联接器	保持容易
CN2384806	联接器	定触点均匀可靠
CN2384806	联接器	接触联接器寿命长
CN2384806	联接器	性能可靠
CN2384806	联接器	质量水准高
CN2399246	联接装置	保证电机机械特性充分
CN2399246	联接装置	输出充分
CN101350413	联离子膜	尺寸稳定性高
CN101350413	联离子膜	机械强度好
CN101350419	联离子膜	机械性能高
CN101350419	联离子膜	质子导电高
